"arch","test","p_value"
"Feature Concentration","ar1",0.404491024438476
"Feature Concentration","et1",0.441240576510792
"Feature Concentration","it1",0.300386506227875
"Feature Concentration","gf1",0.298574790237972
"Feature Concentration","mg1",0.242239185295879
"Feature Concentration","ro1",0.267122708735718
"Feature Concentration","se1",0.591625902525701
"Dense Structure","ar1",0.972033745459003
"Dense Structure","et1",0.99197955827932
"Dense Structure","it1",0.839844240863594
"Dense Structure","gf1",0.949615526067796
"Dense Structure","mg1",0.689651317946099
"Dense Structure","ro1",0.429949767416375
"Dense Structure","se1",0.523225807418148
"Cyclic Dependency","ar1",0.105154416300601
"Cyclic Dependency","et1",0.104222914337431
"Cyclic Dependency","it1",0.194735501665201
"Cyclic Dependency","gf1",0.0540634227565771
"Cyclic Dependency","mg1",0.0611686839828432
"Cyclic Dependency","ro1",0.0633488942481192
"Cyclic Dependency","se1",0.587236156532747
"Unstable Dependency","ar1",0.363969630479816
"Unstable Dependency","et1",0.359302243332645
"Unstable Dependency","it1",0.486181898629082
"Unstable Dependency","gf1",0.234823795462502
"Unstable Dependency","mg1",0.299451098882574
"Unstable Dependency","ro1",0.310035338993681
"Unstable Dependency","se1",0.9242643402397
"God Component","ar1",0.296542234287817
"God Component","et1",0.316903616267743
"God Component","it1",0.525717897134197
"God Component","gf1",0.231538747788695
"God Component","mg1",0.481344286517216
"God Component","ro1",0.884749373967943
"God Component","se1",0.34324358575533
"Ambiguous Interface","ar1",0.465703110852874
"Ambiguous Interface","et1",0.485531626723103
"Ambiguous Interface","it1",0.640700121536648
"Ambiguous Interface","gf1",0.402241646946773
"Ambiguous Interface","mg1",0.644955414982176
"Ambiguous Interface","ro1",0.934817553785184
"Ambiguous Interface","se1",0.43073813981755
