"arch","test","p_value"
"Dense Structure","et1",0.527481726716391
"Dense Structure","se1",0.441739456164711
"Dense Structure","ar1",0.802807607373985
"Dense Structure","mg1",0.262585010256053
"Dense Structure","ro1",0.307607454796952
"Feature Concentration","et1",0.651739381730493
"Feature Concentration","se1",0.485004696345271
"Feature Concentration","ar1",0.776700321743254
"Feature Concentration","mg1",0.782499675144397
"Feature Concentration","ro1",0.725325126749415
"Cyclic Dependency","et1",0.472850489612955
"Cyclic Dependency","se1",0.351608720023609
"Cyclic Dependency","ar1",0.552779015890537
"Cyclic Dependency","mg1",0.575179188743184
"Cyclic Dependency","ro1",0.859653791999343
"Unstable Dependency","et1",0.39279554223895
"Unstable Dependency","se1",0.267186509506277
"Unstable Dependency","ar1",0.460005305827877
"Unstable Dependency","mg1",0.545626166438222
"Unstable Dependency","ro1",0.862897264304633
"God Component","et1",0.357254945296556
"God Component","se1",0.388199584624502
"God Component","ar1",0.594225072143924
"God Component","mg1",0.587462359510884
"God Component","ro1",0.952191464807114
"Ambiguous Interface","et1",0.312582916806511
"Ambiguous Interface","se1",0.726709435896779
"Ambiguous Interface","ar1",0.486024709195868
"Ambiguous Interface","mg1",0.322761728835145
"Ambiguous Interface","ro1",0.353668683334778
