"arch","test","p_value"
"Cyclic Dependency","ar1",0.222583414664326
"Cyclic Dependency","et1",0.219671537528936
"Cyclic Dependency","mg1",0.398071198133155
"Cyclic Dependency","ro1",0.225681512940394
"Cyclic Dependency","it1",0.178554015338392
"Cyclic Dependency","gf1",0.178554015338392
"Cyclic Dependency","se1",0.418281322795936
"Unstable Dependency","ar1",0.198112123763388
"Unstable Dependency","et1",0.208381235612064
"Unstable Dependency","mg1",0.268089689583262
"Unstable Dependency","ro1",0.169977142850185
"Unstable Dependency","it1",0.153126851418018
"Unstable Dependency","gf1",0.153126851418018
"Unstable Dependency","se1",0.581512628060461
"Dense Structure","ar1",0.905966875383561
"Dense Structure","et1",0.908146569168506
"Dense Structure","mg1",0.671949076546105
"Dense Structure","ro1",0.95937906437924
"Dense Structure","it1",0.627353360148424
"Dense Structure","gf1",0.62735336014845
"Dense Structure","se1",0.452966642168758
"Feature Concentration","ar1",0.689565489680622
"Feature Concentration","et1",0.686706634587044
"Feature Concentration","mg1",0.900131101435083
"Feature Concentration","ro1",0.530273057839446
"Feature Concentration","it1",0.450651789879589
"Feature Concentration","gf1",0.450651789879588
"Feature Concentration","se1",0.995314348831345
"God Component","ar1",0.0867142166745051
"God Component","et1",0.0895661987881199
"God Component","mg1",0.171513308649464
"God Component","ro1",0.0699400335749766
"God Component","it1",0.0442843793373782
"God Component","gf1",0.0442843793373784
"God Component","se1",0.765973236509933
"Ambiguous Interface","ar1",0.264426421823718
"Ambiguous Interface","et1",0.272912179874259
"Ambiguous Interface","mg1",0.194316816246362
"Ambiguous Interface","ro1",0.451176427275797
"Ambiguous Interface","it1",0.601144279566328
"Ambiguous Interface","gf1",0.601144279566324
"Ambiguous Interface","se1",0.186950363773813
