"arch","test","p_value"
"God Component","et1",0.659745660615196
"God Component","ar1",0.688483483022132
"God Component","it1",0.429390346838078
"God Component","se1",0.773705326243678
"God Component","gf1",0.802449764967733
"Cyclic Dependency","et1",0.74531511835308
"Cyclic Dependency","ar1",0.78837690259784
"Cyclic Dependency","it1",0.758397819013007
"Cyclic Dependency","se1",0.521223692227986
"Cyclic Dependency","gf1",0.729150642999051
"Unstable Dependency","et1",0.916767889300591
"Unstable Dependency","ar1",0.950963106886951
"Unstable Dependency","it1",0.974490296422626
"Unstable Dependency","se1",0.796204281997728
"Unstable Dependency","gf1",0.962848067202282
"Feature Concentration","et1",0.344770234565671
"Feature Concentration","ar1",0.378405880637216
"Feature Concentration","it1",0.181829502730211
"Feature Concentration","se1",0.243052852475756
"Feature Concentration","gf1",0.349580784263431
