"arch","test","p_value"
"Ambiguous Interface","ar1",0.993024213299287
"Ambiguous Interface","et1",0.774034227691005
"Ambiguous Interface","it1",0.96047337757098
"Ambiguous Interface","gf1",0.703819372783965
"Ambiguous Interface","mg1",0.305151689070423
"Ambiguous Interface","se1",0.809611194688494
"Feature Concentration","ar1",0.241347856425446
"Feature Concentration","et1",0.422731276906602
"Feature Concentration","it1",0.159281545853097
"Feature Concentration","gf1",0.328704163165918
"Feature Concentration","mg1",0.313731946879598
"Feature Concentration","se1",0.179036277070973
"God Component","ar1",0.355079119177178
"God Component","et1",0.37830034679696
"God Component","it1",0.33981020157945
"God Component","gf1",0.244280739960714
"God Component","mg1",0.237205994256114
"God Component","se1",0.283776636065992
"Cyclic Dependency","ar1",0.347108886386509
"Cyclic Dependency","et1",0.298967509875011
"Cyclic Dependency","it1",0.284875992280469
"Cyclic Dependency","gf1",0.321498983863244
"Cyclic Dependency","mg1",0.567399561361158
"Cyclic Dependency","se1",0.495122058743147
"Unstable Dependency","ar1",0.346133453828047
"Unstable Dependency","et1",0.169806907790336
"Unstable Dependency","it1",0.668669845705085
"Unstable Dependency","gf1",0.292264170430517
"Unstable Dependency","mg1",0.140521137309724
"Unstable Dependency","se1",0.018068025904672
