"arch","test","p_value"
"Dense Structure","et1",0.891245268623247
"Dense Structure","ar1",0.947785159296321
"Dense Structure","mg1",0.873678925456926
"Dense Structure","se1",0.882569945293914
"Dense Structure","it1",0.943832747119162
"Dense Structure","ro1",0.757523677079667
"Unstable Dependency","et1",0.866308092677457
"Unstable Dependency","ar1",0.922750990939314
"Unstable Dependency","mg1",0.917397630179574
"Unstable Dependency","se1",0.995140171695768
"Unstable Dependency","it1",0.984869553099082
"Unstable Dependency","ro1",0.941444467798912
"Cyclic Dependency","et1",0.703308513413363
"Cyclic Dependency","ar1",0.708666367368199
"Cyclic Dependency","mg1",0.828069503723221
"Cyclic Dependency","se1",0.98088458934626
"Cyclic Dependency","it1",0.85012644368426
"Cyclic Dependency","ro1",0.0403546052152842
"Feature Concentration","et1",0.638494958326002
"Feature Concentration","ar1",0.617599213699489
"Feature Concentration","mg1",0.501300094297945
"Feature Concentration","se1",0.657923996397958
"Feature Concentration","it1",0.39095294376696
"Feature Concentration","ro1",0.11301888310698
"God Component","et1",0.666171779560903
"God Component","ar1",0.682024858874199
"God Component","mg1",0.717918602881274
"God Component","se1",0.818503985448449
"God Component","it1",0.951653936640241
"God Component","ro1",0.422205852436115
