"arch","test","p_value"
"Cyclic Dependency","ar1",0.759616031213089
"Cyclic Dependency","et1",0.718862154404496
"Cyclic Dependency","it1",0.134119636610352
"Cyclic Dependency","mg1",0.573440287830318
"Unstable Dependency","ar1",0.839472505509353
"Unstable Dependency","et1",0.872861683337361
"Unstable Dependency","it1",0.0858298968265838
"Unstable Dependency","mg1",0.556664026019177
"Feature Concentration","ar1",0.405341763812493
"Feature Concentration","et1",0.829872301581507
"Feature Concentration","it1",0.325616796432203
"Feature Concentration","mg1",0.555827243701226
"God Component","ar1",0.940836274422658
"God Component","et1",0.382673597249082
"God Component","it1",0.0910939688016855
"God Component","mg1",0.39429204762398
