"arch","test","p_value"
"God Component","ar1",0.466487294558819
"God Component","et1",0.466487294558816
"God Component","se1",0.466487294558819
"God Component","mg1",0.466487294558819
"God Component","gf1",0.466487294558819
"God Component","it1",0.466487294558819
"God Component","ro1",0.466487294558819
"Cyclic Dependency","ar1",0.466487294558816
"Cyclic Dependency","et1",0.466487294558816
"Cyclic Dependency","se1",0.466487294558816
"Cyclic Dependency","mg1",0.466487294558816
"Cyclic Dependency","gf1",0.466487294558818
"Cyclic Dependency","it1",0.466487294558816
"Cyclic Dependency","ro1",0.466487294558816
"Unstable Dependency","ar1",0.466487294558823
"Unstable Dependency","et1",0.466487294558823
"Unstable Dependency","se1",0.466487294558823
"Unstable Dependency","mg1",0.466487294558823
"Unstable Dependency","gf1",0.466487294558819
"Unstable Dependency","it1",0.466487294558823
"Unstable Dependency","ro1",0.466487294558823
"Feature Concentration","ar1",0.466487294558818
"Feature Concentration","et1",0.466487294558818
"Feature Concentration","se1",0.466487294558818
"Feature Concentration","mg1",0.466487294558818
"Feature Concentration","gf1",0.466487294558818
"Feature Concentration","it1",0.466487294558818
"Feature Concentration","ro1",0.466487294558818
"Dense Structure","ar1",0.206437641209505
"Dense Structure","et1",0.206437641209505
"Dense Structure","se1",0.206437641209503
"Dense Structure","mg1",0.206437641209505
"Dense Structure","gf1",0.206437641209505
"Dense Structure","it1",0.206437641209505
"Dense Structure","ro1",0.206437641209505
