"arch","test","p_value"
"Cyclic Dependency","ar1",0.675854765806328
"Cyclic Dependency","et1",0.858638094586329
"Cyclic Dependency","mg1",0.787809554268765
"Cyclic Dependency","gf1",0.0840755086672331
"Cyclic Dependency","se1",0.671900146155333
"Cyclic Dependency","it1",0.866857460772454
"Unstable Dependency","ar1",0.194397093379058
"Unstable Dependency","et1",0.378292616108543
"Unstable Dependency","mg1",0.151330916156251
"Unstable Dependency","gf1",0.356226559084335
"Unstable Dependency","se1",0.945244849834895
"Unstable Dependency","it1",0.238196521036414
"Feature Concentration","ar1",0.00109717024033799
"Feature Concentration","et1",0.00530463960082559
"Feature Concentration","mg1",0.000984379082538851
"Feature Concentration","gf1",0.340650244220948
"Feature Concentration","se1",0.0428983350762385
"Feature Concentration","it1",0.00951316001604595
"Ambiguous Interface","ar1",0.408969407693172
"Ambiguous Interface","et1",0.21368625683239
"Ambiguous Interface","mg1",0.3624680882443
"Ambiguous Interface","gf1",0.00322120548328992
"Ambiguous Interface","se1",0.328103593315519
"Ambiguous Interface","it1",0.406832892630616
"God Component","ar1",0.361812664126241
"God Component","et1",0.482861257320491
"God Component","mg1",0.28573085073748
"God Component","gf1",0.153777065673885
"God Component","se1",0.675787321963351
"God Component","it1",0.523366499633614
"Dense Structure","ar1",0.620279822613011
"Dense Structure","et1",0.728626021353838
"Dense Structure","mg1",0.557318197835858
"Dense Structure","gf1",0.564410829364405
"Dense Structure","se1",0.597005426683155
"Dense Structure","it1",0.651531100652242
