"arch","test","p_value"
"Cyclic Dependency","et1",0.169483406294196
"Cyclic Dependency","ar1",0.178741762290935
"Cyclic Dependency","it1",0.0276216831059543
"Cyclic Dependency","gf1",0.118921343874951
"Cyclic Dependency","mg1",0.0591265042881037
"Cyclic Dependency","se1",0.326986722328656
"Cyclic Dependency","ro1",0.66837008440792
"Dense Structure","et1",0.737942942828125
"Dense Structure","ar1",0.827047355419348
"Dense Structure","it1",0.875630672854263
"Dense Structure","gf1",0.709333987188743
"Dense Structure","mg1",0.863569205106172
"Dense Structure","se1",0.517229384669322
"Dense Structure","ro1",0.848944442852986
"Feature Concentration","et1",0.217408236136726
"Feature Concentration","ar1",0.214763554145308
"Feature Concentration","it1",0.0590226226203177
"Feature Concentration","gf1",0.3956490403147
"Feature Concentration","mg1",0.0597523071014923
"Feature Concentration","se1",0.411678688411157
"Feature Concentration","ro1",0.641958666839989
"Unstable Dependency","et1",0.288320607149505
"Unstable Dependency","ar1",0.294566664404387
"Unstable Dependency","it1",0.0697241114285053
"Unstable Dependency","gf1",0.171219602354123
"Unstable Dependency","mg1",0.100274537141431
"Unstable Dependency","se1",0.529502675651335
"Unstable Dependency","ro1",0.440543822654771
"God Component","et1",0.757858971074772
"God Component","ar1",0.80887273662715
"God Component","it1",0.765843932556568
"God Component","gf1",0.287386999510035
"God Component","mg1",0.920102188426366
"God Component","se1",0.796268491689145
"God Component","ro1",0.859229045037463
