"arch","test","p_value"
"Feature Concentration","ar1",0.642055648987433
"Feature Concentration","et1",0.669767208338692
"Feature Concentration","it1",0.801485527276497
"Feature Concentration","mg1",0.987652142328049
"Feature Concentration","se1",0.655450186651657
"Feature Concentration","gf1",0.942578957544583
"Dense Structure","ar1",0.3750724212826
"Dense Structure","et1",0.385092286734882
"Dense Structure","it1",0.314165941959842
"Dense Structure","mg1",0.339591528208653
"Dense Structure","se1",0.443040742168325
"Dense Structure","gf1",0.391921652350298
"Unstable Dependency","ar1",0.86988060616136
"Unstable Dependency","et1",0.888770602070321
"Unstable Dependency","it1",0.932157238088922
"Unstable Dependency","mg1",0.861816441844014
"Unstable Dependency","se1",0.888150614171268
"Unstable Dependency","gf1",0.570117175085561
"Cyclic Dependency","ar1",0.75234674400228
"Cyclic Dependency","et1",0.774841918373777
"Cyclic Dependency","it1",0.730155398271503
"Cyclic Dependency","mg1",0.687894273671601
"Cyclic Dependency","se1",0.972025521800674
"Cyclic Dependency","gf1",0.770794726115471
"God Component","ar1",0.222072452672317
"God Component","et1",0.192650239165639
"God Component","it1",0.395989794426754
"God Component","mg1",0.570378280332918
"God Component","se1",0.511685928231531
"God Component","gf1",0.0955527971954511
