"arch","test","p_value"
"Feature Concentration","ar1",0.937929861294265
"Feature Concentration","et1",0.969555668789576
"Feature Concentration","se1",0.981477019048777
"Feature Concentration","mg1",0.903188837634908
"Feature Concentration","gf1",0.961227270212329
"Feature Concentration","it1",0.916298590308297
"Feature Concentration","ro1",0.800008152034557
"Cyclic Dependency","ar1",0.434832893315235
"Cyclic Dependency","et1",0.417978964351072
"Cyclic Dependency","se1",0.59480688416762
"Cyclic Dependency","mg1",0.283034555713722
"Cyclic Dependency","gf1",0.385758898484918
"Cyclic Dependency","it1",0.516511390342673
"Cyclic Dependency","ro1",0.775356719080588
"Unstable Dependency","ar1",0.850418382198615
"Unstable Dependency","et1",0.830916271488095
"Unstable Dependency","se1",0.726019045681869
"Unstable Dependency","mg1",0.649783252513227
"Unstable Dependency","gf1",0.620865627143393
"Unstable Dependency","it1",0.747659151188616
"Unstable Dependency","ro1",0.362677995467915
"Ambiguous Interface","ar1",0.128737232526899
"Ambiguous Interface","et1",0.123805775366832
"Ambiguous Interface","se1",0.0602153426443351
"Ambiguous Interface","mg1",0.139999641018816
"Ambiguous Interface","gf1",0.0755489484581509
"Ambiguous Interface","it1",0.223593528879115
"Ambiguous Interface","ro1",0.171716008396998
"Dense Structure","ar1",0.23553013727248
"Dense Structure","et1",0.235972968417089
"Dense Structure","se1",0.260766551789941
"Dense Structure","mg1",0.295130962779916
"Dense Structure","gf1",0.318584392035847
"Dense Structure","it1",0.208550644478345
"Dense Structure","ro1",0.715230001246923
"God Component","ar1",0.35336684001089
"God Component","et1",0.351399721648146
"God Component","se1",0.387173446657168
"God Component","mg1",0.413271981108119
"God Component","gf1",0.445436452868988
"God Component","it1",0.387518603708411
"God Component","ro1",0.802252310792368
