"arch","test","p_value"
"Feature Concentration","ar1",0.659676887845579
"Feature Concentration","et1",0.574490173880301
"Feature Concentration","se1",0.834220224301167
"Unstable Dependency","ar1",0.281518195907598
"Unstable Dependency","et1",0.256720849411494
"Unstable Dependency","se1",0.329491978914886
"God Component","ar1",0.438338846291047
"God Component","et1",0.384006497930113
"God Component","se1",0.699910031608561
"Cyclic Dependency","ar1",0.288535012701372
"Cyclic Dependency","et1",0.242737452635604
"Cyclic Dependency","se1",0.636515589048688
