"arch","test","p_value"
"Dense Structure","et1",0.111373246382628
"Dense Structure","mg1",0.111373246382627
"Dense Structure","gf1",0.111373246382627
"Cyclic Dependency","ar1",0.515742061404874
"Cyclic Dependency","et1",0.467682261416791
"Cyclic Dependency","mg1",0.454779493061194
"Cyclic Dependency","gf1",0.46768226141679
"Cyclic Dependency","se1",0.515742061404873
"Unstable Dependency","ar1",0.540634271137644
"Unstable Dependency","et1",0.940391117596087
"Unstable Dependency","mg1",0.644485316568919
"Unstable Dependency","gf1",0.940391117596078
"Unstable Dependency","se1",0.540634271137648
"God Component","ar1",0.858265525138634
"God Component","et1",0.368648966061763
"God Component","mg1",0.198446232363551
"God Component","gf1",0.368648966061764
"God Component","se1",0.858265525138638
"Feature Concentration","et1",0.399953085842955
"Feature Concentration","mg1",0.112162571360418
"Feature Concentration","gf1",0.399953085842957
