"arch","test","p_value"
"Dense Structure","ar1",0.555355127174677
"Dense Structure","et1",0.557495500992447
"Dense Structure","se1",0.419231614155584
"Dense Structure","gf1",0.382213847291764
"Dense Structure","mg1",0.719471454680966
"Dense Structure","ro1",0.4576879050752
"Dense Structure","it1",0.690651770766105
"God Component","ar1",0.240103334042355
"God Component","et1",0.278672854480123
"God Component","se1",0.236943431995267
"God Component","gf1",0.144537467583839
"God Component","mg1",0.380441165399791
"God Component","ro1",0.118409170576449
"God Component","it1",0.742950520663143
"Cyclic Dependency","ar1",0.833070231013933
"Cyclic Dependency","et1",0.993003635764721
"Cyclic Dependency","se1",0.969901709187175
"Cyclic Dependency","gf1",0.986525262010727
"Cyclic Dependency","mg1",0.953355533220992
"Cyclic Dependency","ro1",0.948702133715779
"Cyclic Dependency","it1",0.878174755383184
"Unstable Dependency","ar1",0.802776415340144
"Unstable Dependency","et1",0.78691488616748
"Unstable Dependency","se1",0.434611899949803
"Unstable Dependency","gf1",0.404188976596534
"Unstable Dependency","mg1",0.834649305413306
"Unstable Dependency","ro1",0.814035005132477
"Unstable Dependency","it1",0.294800104975776
"Feature Concentration","ar1",0.0927243986728305
"Feature Concentration","et1",0.107425506774904
"Feature Concentration","se1",0.0559052827375434
"Feature Concentration","gf1",0.0407976268394407
"Feature Concentration","mg1",0.221310753677632
"Feature Concentration","ro1",0.0723508733803393
"Feature Concentration","it1",0.913951652375179
