"arch","test","p_value"
"Dense Structure","et1",0.624153843618559
"Dense Structure","se1",0.858295144482492
"Dense Structure","ar1",0.683918325672572
"Dense Structure","it1",0.59620709415023
"Dense Structure","mg1",0.679665949766013
"Dense Structure","gf1",0.544036331260778
"Cyclic Dependency","et1",0.571991814401826
"Cyclic Dependency","se1",0.76842404283908
"Cyclic Dependency","ar1",0.650069826006549
"Cyclic Dependency","it1",0.653698660260579
"Cyclic Dependency","mg1",0.649156842132577
"Cyclic Dependency","gf1",0.38243281821901
"Feature Concentration","et1",0.440176573065072
"Feature Concentration","se1",0.730284143013984
"Feature Concentration","ar1",0.506790151050417
"Feature Concentration","it1",0.401271950104898
"Feature Concentration","mg1",0.482275163245998
"Feature Concentration","gf1",0.324696702502984
"Unstable Dependency","et1",0.985324642450527
"Unstable Dependency","se1",0.822702950073166
"Unstable Dependency","ar1",0.895877222492074
"Unstable Dependency","it1",0.924351637306322
"Unstable Dependency","mg1",0.910317330624316
"Unstable Dependency","gf1",0.518014750385057
"God Component","et1",0.122161807591787
"God Component","se1",0.816967417058562
"God Component","ar1",0.0789965081883708
"God Component","it1",0.0860422830743427
"God Component","mg1",0.0436921329047212
"God Component","gf1",0.127126799292375
